P8010116.482933
GADANKI 01/01/1980 16:47:29 01/01/1980 16:48:29 0350 0079.2 0013.4 00
0000000 0020 0001200 0020 05
1 0 2 02000 1 0000 0030 00532.o 0 0 00 000 14 001200 0.100 BT0
1 1 2 02000 1 0000 0030 00532.o 0 0 00 000 00 001200 0.0000 BC0
1 0 2 02000 1 0000 0030 00532.p 0 0 00 000 14 001200 0.100 BT1
1 1 2 02000 1 0000 0030 00532.p 0 0 00 000 00 001200 0.0000 BC1
1 0 2 02000 1 0000 0030 01064.o 0 0 00 000 14 001200 0.100 BT2
532.000 .o analog 0 	532.000 .o photon 0 	532.000 .p analog 1 	532.000 .p photon 1 	1064.000 .o analog 2 
 19.6667	108.1000	  9.9346	 91.3792	  1.8077
 20.9011	148.2458	 10.9843	126.8333	  1.8088
 97.7829	144.7125	 70.1547	126.1708	  1.8087
 99.9753	141.4250	 34.7321	124.6000	  1.8089
 89.9756	139.3375	 28.2938	123.3542	  1.8085
 63.2683	137.3458	 22.0948	122.1250	  1.8087
 47.8701	135.8292	 17.9738	121.8917	  1.8085
 38.9287	134.7250	 15.5589	121.8417	  1.8083
 33.4253	134.6375	 14.0244	120.8375	  1.8085
 29.8357	133.3708	 13.0027	120.1708	  1.8088
 27.4301	133.7458	 12.3301	120.2167	  1.8087
 25.7474	133.2250	 11.8480	119.7667	  1.8085
 24.5211	132.7375	 11.4743	119.1708	  1.8086
 23.5989	132.3500	 11.2178	119.2667	  1.8086
 22.9200	132.0042	 10.9977	119.4792	  1.8086
 22.3690	132.0875	 10.8194	119.2958	  1.8084
 21.9616	132.0000	 10.6830	119.0333	  1.8093
 21.5929	132.3042	 10.5866	118.7500	  1.8086
 21.3393	131.9083	 10.4808	118.8750	  1.8084
 21.1158	131.4000	 10.4204	118.6083	  1.8088
 20.9390	131.8500	 10.3497	118.8625	  1.8086
 20.7373	131.5583	 10.3169	119.1292	  1.8090
 20.5920	132.1333	 10.2593	118.8167	  1.8090
 20.4744	131.3750	 10.2381	118.7667	  1.8088
 20.3951	130.9208	 10.2054	118.9625	  1.8088
 20.3010	131.1250	 10.1599	118.5833	  1.8090
 20.2318	131.2542	 10.1551	118.0167	  1.8088
 20.1872	131.5375	 10.1409	118.3458	  1.8088
 20.1333	131.6167	 10.1358	118.0958	  1.8088
 20.0557	131.0917	 10.1127	118.4333	  1.8086
 20.0115	130.7125	 10.0842	118.5875	  1.8088
 19.9709	131.5125	 10.0632	118.5583	  1.8088
 19.9437	131.9083	 10.0580	118.9000	  1.8089
 19.9083	131.1500	 10.0485	118.7000	  1.8092
 19.9200	131.6792	 10.0421	118.4125	  1.8094
 19.8447	131.1292	 10.0222	118.2750	  1.8085
 19.8374	131.4167	 10.0210	118.6708	  1.8088
 19.8246	131.1292	 10.0071	118.7208	  1.8090
 19.7929	131.3792	 10.0112	117.9000	  1.8089
 19.7705	131.3500	  9.9818	118.7958	  1.8085
 19.7359	132.3708	 10.0018	118.2542	  1.8089
 19.7264	131.0542	  9.9875	118.5375	  1.8087
 19.6982	131.2042	  9.9776	118.6583	  1.8091
 19.7054	131.4375	  9.9701	119.2292	  1.8088
 19.6857	131.7208	  9.9748	118.5375	  1.8084
 19.6912	131.4917	  9.9821	118.5250	  1.8083
 19.6883	131.4708	  9.9660	118.5083	  1.8091
 19.6800	131.3042	  9.9687	118.3917	  1.8087
 19.6837	130.8917	  9.9454	118.5125	  1.8089
 19.6780	131.3917	  9.9690	118.2750	  1.8085
 19.6755	130.9792	  9.9800	118.5208	  1.8087
 19.6803	131.9333	  9.9512	118.6875	  1.8086
 19.6703	131.3375	  9.9560	118.9958	  1.8087
 19.6829	131.7333	  9.9557	118.7000	  1.8091
 19.6666	131.0417	  9.9594	118.5625	  1.8091
 19.6553	131.0583	  9.9566	117.7875	  1.8090
 19.6449	131.0333	  9.9743	118.4625	  1.8092
 19.6592	131.2375	  9.9572	118.2375	  1.8090
 19.6600	131.6500	  9.9533	119.2250	  1.8089
 19.6414	130.7708	  9.9689	118.3000	  1.8085
 19.6501	130.8542	  9.9665	119.2250	  1.8087
